"State","land_sq_km","fed_land_sq_km","non_fed_land_sq_km"
"AL",131171,3044.061,128126.939
"AZ",294207,111862.4904,182344.5096
"AR",134771,12434.7663,122336.2337
"CA",403466,178261.9857,225204.0143
"CO",268431,95906.7792,172524.2208
"CT",12542,30.5856,12511.4144
"DE",5047,103.086,4943.914
"FL",138887,12913.7112,125973.2888
"GA",148959,6024.5316,142934.4684
"ID",214045,132993.2214,81051.7786
"IL",143793,1629.1593,142163.8407
"IN",92789,1022.8032,91766.1968
"IA",144669,787.392,143881.608
"KS",211754,780.7554,210973.2446
"KY",102269,3735.2511,98533.7489
"LA",111898,4889.1096,107008.8904
"ME",79883,1154.385,78728.615
"MD",25142,387.1917,24754.8083
"MA",20202,184.8339,20017.1661
"MI",146435,13009.9869,133425.0131
"MN",206232,14263.0182,191968.9818
"MS",121531,6308.8002,115222.1998
"MO",178040,6579.9063,171460.0937
"MT",376962,110003.4144,266958.5856
"NE",198974,2261.8719,196712.1281
"NV",284332,227656.9098,56675.0902
"NH",23187,3189.6486,19997.3514
"NJ",19047,424.917,18622.083
"NM",314161,95467.293,218693.707
"NY",122057,254.6424,121802.3576
"NC",125920,8257.653,117662.347
"ND",178711,7434.9531,171276.0469
"OH",105829,1177.7292,104651.2708
"OK",177660,2112.9345,175547.0655
"OR",248608,130362.678,118245.322
"PA",115883,2359.0944,113523.9056
"RI",2678,9.927,2668.073
"SC",77857,3236.1156,74620.8844
"SD",196350,10770.0228,185579.9772
"TN",106798,5225.9787,101572.0213
"TX",676587,10094.7186,666492.2814
"UT",212818,134268.3792,78549.6208
"VT",23871,1806.8544,22064.1456
"VA",102279,8512.236,93766.764
"WA",172119,47966.8275,124152.1725
"WV",62259,5031.3843,57227.6157
"WI",140268,7260.0885,133007.9115
"WY",251470,120520.8459,130949.1541
"CONUS",7652848,1553974.929,6098873.071
