"state","n_increase","n_decrease","n_notsig"
"TX",3,3,12
"CA",0,13,5
"MT",3,14,1
"NV",6,6,6
"AZ",2,10,6
"UT",1,13,4
"KS",11,2,5
"WY",2,10,6
"NE",6,5,7
"NM",1,11,6
"SD",6,8,4
"ID",1,12,5
"ND",7,4,7
"IL",6,7,5
"WA",0,11,7
"CO",2,13,3
"MN",7,3,8
"FL",4,7,7
"OR",4,5,9
"MI",7,5,6
"NC",4,4,10
"OK",1,4,13
"MA",0,14,4
"VA",6,6,6
"GA",1,11,6
"LA",7,4,7
"AL",8,3,7
"PA",5,9,4
"MO",4,6,8
"TN",2,6,10
"NY",4,6,8
"ME",1,6,11
"MS",11,3,4
"WV",4,12,2
"OH",4,7,7
"MD",4,5,9
"SC",4,5,9
"NH",0,12,6
"NJ",6,6,6
"VT",4,8,6
"CT",1,15,2
"DE",12,3,3
"RI",0,12,6
"IA",8,4,6
"WI",9,5,4
"AR",7,8,3
"KY",4,7,7
"IN",6,6,6
